Indicador,Formación bruta de capital fijo,Talento,Incidencia delictiva,Percepción sobre inseguridad,Imparcialidad de los jueces,Calidad institucional de la justicia,Duración procedimientos mercantiles,Indice de eficiencia en la ejecución de sentencias,Ejecución de contratos,Notarías,Tasa de homicidios,Tasa de reforestación anual,Fuentes de energía no contaminantes,Emergencias ambientales,Areas naturales protegidas,Empresas certificadas por su responsabilidad ambiental (en cada diez mil unidades económicas),Relación de la producción agrícola y consumo de agua en la agricultura,"Sobre_
explotación de acuíferos",Volumen tratado de aguas residuales (Caudal tratado),Porcentaje de disposición de residuos sólidos en rellenos sanitarios,Tasa de dependencia económica,Población con acceso a agua potable,Esperanza de vida,Población sin acceso a instituciones de salud,Coeficiente de desigualdad en los ingresos,Número de médicos por cada mil habitantes,Muertes provocadas por desnutrición,Tasa neta participación laboral mujer,Ingreso promedio de la mujer,Presencia de la mujer en el congreso,Analfabetismo,Eficiencia terminal en secundaria,Eficiencia terminal en preparatoria,Atracción de talento,Calidad educativa,Población económicamente activa que ha recibido capacitación,Deuda directa,Pasivos promedio del gobierno,Crecimiento promedio del PIB,Deuda como porcentaje de ingresos garantizables,Plazo promedio de vencimiento de la deuda,Extensión de período gubernamental de presidentes municipales,Participación ciudadana en las elecciones,Índice Molinar,Elasticidad Salario-PIB,Salarios promedio,Productividad agrícola (por Ha. Cosechada),Grado promedio de escolaridad,Costo de inmuebles,Venta de inmuebles,Productividad neta de los activos,Disponibilidad de capital,Densidad de las tierras agrícolas por trabajador,Porcentaje de hogares con televisión de paga y telefonía fija,Penetración de la telefonía movil,Porcentaje de hogares que cuentan con internet,Penetración informática,Cobertura de la banca,Red carretera avanzada,Accidentes por malas condiciones del camino,Carga portuaria (aérea y marítima),Número de vuelos (operaciones / 1000 PEA),Destinos aéreos ,Densidad de transporte público,Tamaño del mercado hipotecario,Penetración del sistema financiero privado,"Presencia de la banca comercial (oficinas /100,000 hbt)",Penetración del seguro en la economía,Disponibilidad de aeropuertos,Índice de calidad de la transparencia,Facilidad para abrir una empresa,Agilidad del registro público,Índice de calidad de calidad de gobierno electrónico,Índice de información presupuestal,Autonomía fiscal,Inversión en bienes informáticos,Eficiencia en recaudación,Recaudación de tenencia,Índice de corrupción y buen gobierno,Mercado informal,Flujo de extranjeros,Ingresos por turismo,Intercambio comercial con el exterior,Inversión extranjera directa (neta),Correspondencia internacional enviada y recibida,"PIB sector industrial (incluye construccion, manufactura, mineria, electricidad, agua y gas)","PIB servicios (incluye comercio, restaurantes, hoteles, transporte, almacenaje, telecomunicaciones, servicios financieros, seguros, actividades inmobiliarias y de alquiler, servicios comunales, sociales y personales)",Coeficiente de invención,Empresas con ISO 9000,Número de investgadores
Quintana Roo,4.5606100783,29.1819232147,22.3672806067,41.469229623,40.7407407407,36.6459627329,0,69.0721649485,79.6835443038,82.7844418014,83.96390344,0.3657399033,100,95.2380952381,18.9313006023,0.1737444565,0.5442073338,6.2438854884,14.0534966395,60.9338116137,68.491158471,80.4347826087,100,33.4461428073,89.4154230797,33.2951443142,100,70.8879173403,23.7032868904,100,63.9974828387,78.453038674,41.8994413408,21.7894684279,73.4292289988,8.8606039903,80.7382755936,63.201952259,76.9193442572,59.2764378479,64.0883977901,0,49.2163009404,71.7536802998,37.0732040628,71.2629896083,11.4254107409,58.5365853659,#DIV/0!,75.5608784693,36.1970713303,22.8857061665,10.8047953098,73.8954418921,100,82.8262292358,36.2826917021,23.9712503806,17.8473332135,99.5208427185,0.0010335498,68.0098159093,64.8,100,41.4903294235,37.1724746175,37.4587567593,41.3197106846,26.4582108852,38.2031618068,87.88084875,99.1977818765,6.6180844735,65.6254101588,60.5042184697,21.4557208312,98.5645327231,0,210.4421017472,99.8116834075,100,100,1.2324021873,30.1514326279,33.2320582551,2.7635786829,92.4312182853,20.7330056652,14.6570123388,4.1126871357
San Luis Potosí,6.7868875528,31.6341037442,86.6088840737,75.5327074952,73.4567901235,58.3850931677,36.1963190184,60.3092783505,14.3037974684,30.8645993421,80.5120106924,18.8039392633,0,96.8253968254,1.7900574891,9.4155669147,0.4625670907,97.6396866982,11.3352450045,51.1729175446,22.5518502241,51.8115942029,60.4097239275,53.7426873842,63.9557502009,46.6377794719,50.1371881921,63.0814522134,47.5410620298,66.6666666667,52.9948247518,70.7182320442,84.9162011173,9.4688523566,64.6029919448,7.162761178,72.5130775295,59.6282631808,60.2907513994,57.9777365492,52.4861878453,0,26.3322884013,70.014929488,67.3217588697,37.4900079936,9.4709032202,41.4634146341,#DIV/0!,46.9346922579,46.2212752904,18.9093020324,15.3264202068,56.9389843723,17.4632352941,24.5896226869,30.0142208476,23.9734628671,11.4871241097,99.4049860913,15.2059735931,8.1071387074,4,8.2809327471,32.7864771249,24.2116100036,15.7597354761,23.5225857584,9.1997057141,75.4017328595,95.3999275,99.649597521,62.7900059488,65.6254101588,80.124529903,2.3156712962,68.8817112229,0,178.3782657561,99.8061215425,0.1962604126,11.5831945486,17.2267288432,11.527946604,8.5262160002,31.1370822655,58.8267280619,17.9144672246,17.5225799541,16.2781229993
Sinaloa,5.6401479874,41.312457666,35.5471289274,19.1178661898,61.7283950617,61.4906832298,38.036809816,72.1649484536,0,7.9151239314,33.3854186565,1.2479455566,32.6865213178,96.8253968254,0.9632146218,10.0578538355,1.4141663258,19.2904136179,34.1151887398,78.0750541454,57.3539952391,86.231884058,43.2174553618,47.6375508478,78.0538472893,63.3994371239,62.4816182912,63.2227585895,33.9751068904,54.9019607843,76.802228723,59.6685082873,69.2737430168,0,93.9930955121,5.8323292127,22.2250356661,39.5592898152,46.3616074238,51.1131725417,0.5524861878,0,58.934169279,46.9458097602,13.1459247315,66.7466027178,19.5228378243,60.9756097561,#DIV/0!,60.6429857799,41.850891248,11.7986082364,29.2672601016,59.2397841464,59.1911764706,44.1043699309,38.1898212429,38.901510829,32.3254239475,94.1335095562,0.027617121,28.0720394505,37.6,17.69769427,8.4137576536,32.2247156965,38.5108772916,46.4498691429,19.6298686574,62.3015602027,91.5172975,99.6368754393,92.4449732302,93.7524609529,71.2243402576,21.4557208312,90.1491197042,0,201.5354806385,99.8735870473,8.5744393915,27.4949037561,4.8586806626,8.3145953526,11.5222287356,1.7278910665,78.886142287,3.6953221292,9.841835911,6.435888003
Sonora,10.1244612398,43.1146118363,39.8212351029,64.7891521383,74.0740740741,77.0186335404,36.8098159509,29.381443299,46.9620253165,52.8470600029,64.3388279791,3.6558529069,32.6865213178,84.126984127,7.044080012,14.2761575271,0.1654993651,62.1240036646,22.9201530543,44.1213653603,59.1775414844,89.4927536232,64.3315676851,83.805173506,81.7788895223,57.6967466775,52.7141089143,65.898579355,32.4123476,16.6666666667,96.2447456214,65.7458563536,32.9608938547,1.0266234473,81.3808975834,9.03531482,47.3384040489,32.3485278044,74.3126653154,42.6716141002,29.8342541436,0,51.724137931,48.266639753,70.4970062476,64.7082334133,32.847689207,68.2926829268,#DIV/0!,49.7232467772,49.892524953,30.9107917176,32.9058845969,100,65.8088235294,55.0407408252,59.52532297,27.6544856176,26.5854388598,79.5935028493,12.0403806726,23.2338891447,24,8.8184178189,17.9247022637,18.1760053986,45.5440734609,40.010232738,7.8363488491,59.5296406624,92.73413625,99.8000815732,100,68.7491796824,41.7341614791,22.8982666043,89.5278372906,0,139.189132878,99.8926987277,1.5410893216,18.4049333488,26.0062006808,20.8595970567,2.9452241796,28.6414149397,59.0054878406,19.9861078259,13.0683842915,14.448365928
Tabasco,3.9071910419,19.8141583937,76.9068255688,44.3451050514,79.012345679,72.049689441,54.6012269939,56.1855670103,30.6329113924,27.3953227317,77.4954057125,7.397686044,100,26.9841269841,9.8397934997,68.2771653306,5.3931209977,2.6405162992,10.4930845146,33.1994664448,53.4145099441,22.8260869565,41.3161679587,58.542922576,64.52893757,72.728550619,65.2269839022,5.9664792652,62.0864871158,19.4444444444,76.8713391974,64.6408839779,73.7430167598,14.4944836706,51.2888377445,6.2336603848,98.0097823848,94.2369649006,73.7438941684,95.9183673469,55.8011049724,0,81.5047021944,32.0234436856,69.2134007693,37.6498800959,15.812103174,48.7804878049,#DIV/0!,11.187714911,8.2235731409,18.7438218702,1.9878173946,16.0401914583,56.0661764706,14.2882465744,22.0463451709,10.128618867,5.7622711624,98.5360613877,6.3886150849,9.3511035284,8.8,14.6390654021,7.7217228752,22.2698543552,16.411000113,17.4611970101,11.3690548349,81.9008350083,88.85150625,99.5994361703,45.6127305175,65.6254101588,100,21.4557208312,7.2013377575,0,354.7293637072,99.8208994874,0.1580998431,6.3388441711,0.8089945148,12.232068432,4.1436237189,67.7840968634,27.8080654356,2.4157217672,19.4948405403,5.2995676628
Tamaulipas,11.8344979495,47.5320520203,57.2806067172,43.9874832365,46.2962962963,59.0062111801,89.5705521472,89.175257732,44.8734177215,40.2834978314,58.1279508212,2.8156992957,0,30.1587301587,9.657238143,19.6392734728,1.4687309739,31.4220289528,30.7266461026,49.0513596311,65.5134569598,93.4782608696,59.3433191848,64.531048324,81.2469342975,48.8348840059,85.765361493,65.7014120026,8.7913414325,46.6666666667,87.3511143968,87.2928176796,63.1284916201,13.5600565944,72.2784810127,9.5621229776,77.5080586272,93.3955246036,41.2236434263,92.8571428571,68.5082872928,0,47.6489028213,9.2273971662,19.7264691566,67.7857713829,5.6112177486,63.4146341463,#DIV/0!,61.6777587238,59.5211929476,35.9436848874,100,62.582251853,75.1838235294,35.9008028649,41.7128032051,26.5786263819,11.0779503233,98.4202047606,32.8076228663,11.4553041588,16.8,18.5230710721,22.1527051984,1.7880441234,42.9617348603,32.4050593726,17.5519039776,55.3798599476,91.27815,99.2228625519,56.6627007733,56.2541015881,69.8951093727,21.4557208312,93.0553140048,0,224.692695521,99.8933254491,5.6996694305,14.3811592715,59.3004693241,26.1081202987,2.8931793118,30.304550963,61.9653531016,9.5065761175,20.0234398237,3.2137204469
Tlaxcala,0.0151591837,12.9169381559,78.6890574215,83.1619728803,11.7283950617,22.9813664596,5.5214723926,46.3917525773,87.7848101266,8.5129034072,90.7868501202,73.9464667736,47.0219304361,93.6507936508,3.5116203396,12.6482781651,0.7005161988,29.6040263102,6.3067056238,86.5371631572,39.0595398658,100,87.3925702459,18.3904126278,0,49.4292456514,42.1986982711,62.5917569323,34.3822760936,33.3333333333,60.6771406806,100,86.5921787709,16.1589107296,82.6352128884,5.1352118455,62.2887010523,90.6799431339,34.6579508395,66.8083069005,100,0,84.9529780564,96.7295827812,62.4832951591,18.7849720224,6.1411481028,53.6585365854,#DIV/0!,34.2915791631,29.2479091213,0.751618817,17.5231009946,33.8931682478,12.1323529412,5.586710697,20.1534011996,25.4976199757,9.2616733597,99.8684125999,34.7415340774,0,0,43.0500436134,3.4170666768,9.3461280103,5.3407312626,23.8881877135,0,39.7540378881,90.3074925,99.7244760591,14.1731112433,62.5016406353,70.1597317725,0,79.5029613396,40.48021264,326.2281761595,99.5115391115,0,12.1242799796,8.1305337016,7.5740650514,14.0418935529,22.1495012216,64.8069357676,8.9508670256,19.5579727321,6.7509757173
Veracruz,17.5754559973,18.2021840612,87.9252437703,60.7361049024,9.8765432099,3.7267080745,30.0613496933,0,61.2658227848,19.247345375,87.1344817545,26.6431413454,100,0,10.8953255766,24.3341140969,4.0557706367,14.7946942437,22.4922884875,33.5354448612,46.2695619809,22.4637681159,15.5470586172,38.8491955584,38.7731292537,47.9847609724,46.4662121747,42.2207275453,36.9194618139,47.7272727273,49.1454156685,62.4309392265,87.1508379888,28.9780225074,65.7422324511,2.6912418826,74.7814809921,67.0016054176,73.7537987787,72.0779220779,70.1657458564,0,74.921630094,98.4260988417,100,20.5835331735,14.4994644703,26.8292682927,#DIV/0!,29.607987208,95.9369963847,34.4459122902,4.953862194,42.589982023,24.8161764706,18.4807878179,17.7239259063,23.6420705692,18.1657951888,99.4629144049,0,5.1032544049,12,14.0981774446,1.7171811659,16.8336404907,13.5770942989,30.8069235604,19.5773491427,82.6039042352,100,99.9614702668,48.1558596074,59.3778711117,67.878735481,21.4557208312,67.2081769422,0,304.8522854988,99.7839291512,1.1142759103,11.3250137218,5.5969998846,6.5906892209,18.7500336902,26.9969154266,61.0732026618,4.0496957609,11.9215832264,5.7701838308
Yucatán,4.0673162259,19.1652960941,32.0964247021,77.8125465653,62.3456790123,48.4472049689,33.1288343558,52.5773195876,98.0379746835,49.7512360908,98.8894907161,5.3618790286,100,93.6507936508,9.0989692577,6.8051897432,0.0035771192,5.2008363815,0.1736786402,57.7984606517,60.1813728453,92.0289855072,60.1922334865,19.4370371255,39.936685908,59.4197284269,56.9434788306,73.3398569261,32.0356395036,46.6666666667,40.6994520639,39.7790055249,19.5530726257,13.2657264135,62.0483314154,2.660027629,78.3918674863,84.687968498,69.7973720704,87.1985157699,69.6132596685,0,100,44.4662604068,62.1611815524,30.415667466,0,36.5853658537,#DIV/0!,56.6946856836,35.5660070969,8.734667249,52.4256275341,60.0946915348,53.3088235294,53.4799007437,31.9690388535,32.2662221348,15.3330405676,99.578771032,100,10.9258195281,12,6.1576820521,25.3880526601,32.4933277396,24.5227358647,55.0864523091,14.1841647551,64.0589498034,92.2488075,99.5867140886,60.0535395598,71.8729492059,81.604908185,100,89.4600441833,0,217.5673986341,99.6423253121,3.9373844506,15.5015411756,7.9227245354,7.9444895026,23.0396589674,11.8081149552,78.2119963637,7.9022963805,4.4913288907,18.4685622494
Zacatecas,0.7999099996,25.5436792513,86.2567713976,76.4863656683,90.1234567901,40.9937888199,47.2392638037,15.4639175258,93.9240506329,47.8013277555,84.5446750781,5.4656079444,61.7637167241,93.6507936508,0.0102453909,4.1482337307,0.2822106598,70.3789826074,2.67121367,31.838540726,22.7937617303,85.1449275362,78.3737327674,48.5495771984,58.4300068478,55.6585663287,46.3707189476,46.6872097094,28.7039361347,58.3333333333,85.9931746826,35.3591160221,37.9888268156,6.4009132975,78.3659378596,40.657157324,79.9793985742,91.9473497451,51.7549231792,95.3617810761,86.7403314917,0,52.6645768025,44.7935912239,43.1803645728,40.1278976819,5.4433468264,26.8292682927,#DIV/0!,31.8329341347,46.1720660321,9.2959491383,51.7813423389,39.3926284376,10.4779411765,19.6481842732,32.0550344271,32.9720168298,6.3336863609,98.362276447,6.267585691,6.4728222149,12,8.1937573034,25.4521955884,30.461485579,18.5522011886,21.2791081899,3.7306407128,59.6216698608,95.3999275,99.8626015176,57.51041047,74.9967187295,96.5492529765,18.2731655085,79.5029613396,78.7035331196,139.189132878,99.8926238364,0.2314537619,14.6837815515,5.5219716239,7.8960342792,22.8713743825,16.1001607617,62.3024008745,0,4.1069674118,10.6924142498
Aguascalientes,3.109781226,51.4140097334,80.4225085359,28.4128412074,60.0694444444,56.8,71.7821782178,60.7594936709,8.164556962,73.370412147,92.3164452698,61.8049666862,61.7637167241,100,5.0758076583,15.9075407263,0.0966218458,18.6121355159,25.2520638787,100,33.3909532422,97.2,67.9700321085,81.9122635886,71.5054351125,72.480628937,71.037267298,69.7557516163,46.4107215009,71.7948717949,89.4161123083,50.9345794393,48.1927710843,33.1183249164,57.0695766629,13.2182200618,75.2995040454,39.7138697797,89.0709638699,46.9252601703,85.1724137931,0,40.5190311419,18.8299351024,63.4204375157,47.7185501066,13.3439704667,68.2926829268,#DIV/0!,74.0834623697,57.8786081641,40.8245221877,25.551059957,54.4784136648,28.3309957924,54.3120491692,61.0917039913,25.8001875691,14.6884529129,99.9230213882,0.0006419658,8.5066275283,10.8333333333,19.1803075899,97.5114457922,24.7728995178,20.4398026968,78.6272031951,50.0177777778,71.1893899484,95.6800058521,100,68.9903249814,90.6286914293,59.3818132028,20.967275993,93.0458174184,49.3376321383,224.2811657937,99.8346489589,0.2622916561,7.079430354,52.3613712873,20.435913453,8.0551429828,31.4833206369,58.4880502651,10.9327418222,14.2277165196,8.783999826
Baja California,10.9452240142,42.913297571,51.1511999252,14.0519113673,69.7916666667,60,67.8217821782,100,61.2658227848,20.1955132684,54.3053507433,0,32.6865213178,83.0769230769,50.8825306793,8.9581670523,0.1793709316,73.8898696085,41.3071795913,95.5821532871,77.6455950498,80,90.602925437,88.9905527605,100,25.0410900677,100,79.2825919542,21.5799169052,50,83.2009576532,55.6074766355,15.0602409639,28.0872895945,44.4314789209,10.1003798046,83.9958273093,45.1622410092,65.0071707022,44.087038789,58.6206896552,0,0,36.5253198432,85.3109580521,79.4029850746,46.3440659584,70.7317073171,#DIV/0!,90.4119320608,39.8848142124,25.6730382382,14.322742184,70.8783774228,61.4305750351,60.6664572499,74.8274011343,33.7476391863,24.1085119082,28.2482598608,0.0011130582,19.029497989,34.1666666667,18.2791666707,26.0170993571,5.316943203,35.5256948133,51.8593874837,19.6621753837,11.5283139247,86.0709473819,99.5061803921,73.5549491441,78.1204882531,71.8881817371,15.7359031509,95.4788741194,0,542.7516531399,99.9990500133,11.6762546731,17.5882615889,100,30.1084761551,9.6853013752,24.4236995386,67.4633730342,2.6937064002,26.7211344308,21.0900019982
Baja California Sur,0.4225613072,47.0347707139,80.3015728763,62.0398099874,52.0833333333,24.4,21.7821782178,62.5316455696,100,3.3312795912,80.7835114987,0.8192086695,32.6865213178,98.4615384615,23.2289159679,4.5313084602,0.2607729088,80.7033932061,6.6839220463,80.0182951619,81.6095776676,52.4,89.6146985373,70.2699617871,96.4952592423,81.5904254717,82.3166345462,43.3966173326,15.434647563,0,87.6460146235,81.7757009346,0,11.0598147568,48.1948283311,11.0785284747,34.8190884869,67.9495899939,92.2905780397,76.6319772942,76.5517241379,0,42.5605536332,53.8544331578,34.8289812614,100,100,70.7317073171,#DIV/0!,82.7594052424,35.6031902672,24.5107814093,0.6983679668,91.9954565139,100,92.9194448915,71.5576299709,51.2423119349,2.3635249127,99.6519721578,29.1884295251,100,42.5,58.1551651472,24.7569834684,63.615963086,57.4189458482,49.2649621075,19.0247893648,0,92.5065672587,99.3784558945,0,0,61.5979830362,0,93.4727133395,0,426.2380602083,99.9770020509,22.2180457422,83.0284712506,2.9554476611,69.6249188846,15.018927493,3.0772786646,85.0319825958,14.9992745347,13.1682197412,52.2655728712
Campeche,2.1342910161,39.3085765779,77.0038200582,49.6572708101,42.0138888889,48.4,81.1881188119,20.7594936709,30.6329113924,100,81.1466374365,0.6606471362,100,84.6153846154,15.3408862712,9.5684449083,0,0,0,31.8858340724,57.24512749,67.2,57.0816981805,22.3691099365,68.3465461372,88.9079567758,90.8325490376,50.9559249356,45.2701058136,0,42.8997058954,39.7196261682,27.1084337349,12.8145199998,50.2896598947,7.8928393826,97.629310844,100,0,100,95.1724137931,0,67.8200692042,71.0037458003,58.0738207857,33.4328358209,4.1900652841,46.3414634146,#DIV/0!,0,0,100,14.16702342,77.1127206704,39.9719495091,35.8597295603,32.480484516,0,0,99.1299303944,19.7967428959,58.8195884018,10,53.7457043024,31.9315607003,32.3498022856,19.9953367068,0,9.7476051068,50.154441931,95.0446081919,99.9364102786,40.9823865046,74.9967187295,75.1939069024,20.3273376863,81.6987628886,0,418.4704873462,99.8429280097,0.3693023281,0,1.8809874528,4.4508943781,0.6684963996,100,0,10.3708524436,41.4483903036,10.1262782023
Chiapas,2.1846471169,0,95.8627498807,54.9443745823,53.125,43.6,51.9801980198,52.4050632911,42.8481012658,38.3344957632,100,1.5527579586,100,72.3076923077,34.1937890468,4.0863168031,2.3834586318,3.1226603822,9.5970361348,28.0152636713,13.1454632097,9.6,20.5030324652,19.3869313957,14.8211236619,0.5952185376,57.3406044355,0,100,42.4242424242,0,43.9252336449,26.5060240964,2.6363290013,0,0.1482335544,93.6613646855,6.2778017839,39.1842904226,58.4673604541,8.6206896552,0,14.1868512111,46.6344849549,17.0596664055,60.8955223881,10.4333718497,0,#DIV/0!,32.4020493143,66.6796092883,13.9410709743,9.2514800571,11.7161637089,2.1037868163,19.1925432085,0,26.4754115678,7.2590638411,99.535962877,88.8448671932,4.3282983844,9.1666666667,17.3619923305,43.7536505349,2.2998451871,0,23.6980554978,22.9109268332,78.6853347358,94.025842111,99.9082491163,53.386256512,71.8729492059,75.2858401516,20.3273376863,20.8398928323,26.9358597571,410.7029144841,99.8022227283,0.5501331964,9.3901093208,0.633892193,3.7896556479,1.3330770588,11.3655471733,69.0962633897,7.3107442572,3.6652822903,3.0620019772
Chihuahua,14.1409968826,44.4347646381,55.5594858932,28.2654898901,67.7083333333,44.8,65.8415841584,0,4.1139240506,17.3888900537,39.5417800222,0.0057405693,32.6865213178,80,4.9602816838,100,0.1250657971,57.5262018782,52.9672486128,76.5445334342,57.4515946863,86.4,81.7838030681,100,83.5398627877,44.2760579946,80.3775043282,39.8368011354,33.8881920713,43.75,88.4372478627,50.4672897196,11.4457831325,11.4875176222,54.9885345608,27.8433139348,93.1250907016,43.6854460807,69.5443996782,35.2885525071,78.9655172414,0,12.4567474048,20.7657978988,51.0764037238,55.4371002132,20.3693767675,56.0975609756,#DIV/0!,83.5957783902,39.0211615544,25.2349849248,39.5345944598,59.8940695355,50.9116409537,52.8885774613,56.8486403107,24.2580511612,30.5326952153,90.6032482599,0.0411862862,13.339332751,24.1666666667,0,100,6.7710675701,30.5897760635,36.9142853617,2.2736547778,59.4257801853,90.973093576,99.7134828839,59.6378069958,84.3811523822,57.3709397135,20.3273376863,89.5791952678,0,534.9840802778,100,2.2842295857,12.1825100299,94.5146382657,50.9018931571,5.5473650675,26.2592858493,62.7081831902,26.6608193498,100,5.0117001404
Coahuila,15.2528434855,64.49859051,88.3009648326,48.6946771081,55.9027777778,65.6,39.1089108911,75.6962025316,10.253164557,36.3890406682,91.4975701424,100,0,92.3076923077,11.3444003001,14.8512192344,0.1321339955,91.6630353502,24.6878806334,71.2993180437,55.2572836935,98.4,49.7752408134,86.5663148625,81.2621379001,72.2666943813,83.827911637,39.1250220954,33.371274008,46.6666666667,87.7245555,0,56.0240963855,24.2479408097,64.0258566318,14.7737881252,100,95.9353965877,60.9715983872,95.9318826868,75.5172413793,100,41.5224913495,22.5895652368,34.5621232154,0,18.8963721289,73.1707317073,#DIV/0!,63.826453906,70.3305617327,60.8554668353,30.3537990026,54.7706794557,55.3997194951,34.6224792223,53.9096583568,18.5949206893,36.4611686212,97.0417633411,0.0174948702,7.1243636425,14.1666666667,18.3744376863,27.431882035,29.3156629462,35.6538469975,20.5311748464,9.2888507379,62.0387248054,92.840239773,99.5890287148,48.4991317291,65.6254101588,64.7283683979,15.5896501011,17.0379486441,47.5425492898,511.6813616915,99.866810449,6.5588068045,7.7363207286,30.3533425056,6.4290990743,18.5239840666,43.0775208722,50.6989235608,26.627906525,17.1867294057,9.9542275569
Colima,0.1166760686,43.9749027258,90.6405924724,100,85.7638888889,70.8,51.9801980198,72.4050632911,8.2278481013,63.7824476428,76.9848276286,20.4751285876,61.7637167241,96.9230769231,58.5104762454,7.4546314346,0.7978564497,63.191365015,7.5974421437,50.3273748373,69.1633657184,98.4,74.2169104531,18.7790337116,77.7609861137,100,68.3629388776,82.2840906224,32.4671086384,38.8888888889,76.3346216656,100,91.5662650602,27.1215102546,49.5583218215,7.3603211353,85.8969174154,52.8710279009,62.6793443512,68.7795648061,71.0344827586,0,50.1730103806,34.4601018018,68.6164583889,61.2793176972,33.1759556609,60.9756097561,#DIV/0!,100,65.6864888697,35.4784469352,28.2528730674,77.8520014177,60.0280504909,29.7665577276,53.813922391,29.3481118014,36.7243981142,95.5916473318,0.0012771955,18.9707554932,9.1666666667,8.3177181061,37.420140077,100,39.7955762875,43.2104929975,100,15.5967408132,88.5486432859,99.7312880059,73.0091788638,71.8729492059,82.9481693345,7.4192767564,57.037649629,0,100,99.9678059422,1.8515877065,20.779650587,0.9157696314,7.9342879278,27.4712771429,11.1331648263,72.5295483779,20.6602337773,1.3373956557,26.3935131788
Distrito Federal,100,100,0,0,59.0277777778,49.2,53.9603960396,39.746835443,85.7594936709,13.2149347583,66.7002355881,2.8917295972,47.0219304361,87.6923076923,0.598399902,20.9855293478,100,17.9832749505,23.3328258222,100,100,100,93.1751694613,43.1651622979,82.6094675347,99.6005398851,88.0913679372,100,23.4321059763,65.7276995305,100,45.3271028037,19.2771084337,6.3581004732,100,11.0790415316,82.40156868,30.3546097998,61.414280803,5.298013245,0,0,91.6955017301,41.0665186478,26.7396817457,87.3773987207,79.1019871767,100,#DIV/0!,31.2737259533,47.0307269198,67.2713447346,0,77.8646959612,57.7840112202,83.8113582054,100,100,100,97.8538283063,23.5408110212,28.0139641158,100,45.4486200388,7.417067378,18.4665241561,100,100,42.5578581153,100,91.9599122885,99.2899753393,67.9732076408,81.2442577766,0,20.3273376863,63.1317379262,100,845.6869947619,99.8509152252,22.2735327574,9.6464858122,32.5235866091,92.1628094279,100,0,100,100,37.6675359317,100
Durango,3.693394605,28.2871766532,89.2450928176,55.5024683994,57.6388888889,68,74.2574257426,65.5696202532,14.3037974684,35.0079796879,57.7443611063,0.502409359,0,86.1538461538,3.1952724254,31.2613282976,0.222287295,93.5653641311,21.393287319,77.9100818165,30.3510502916,83.2,37.5026757046,81.6706492095,52.8855452648,63.6904196008,84.2670334155,30.7699904306,44.0035956791,58.3333333333,90.3088793422,57.9439252336,32.5301204819,30.5912165844,43.1122759249,9.7912954206,66.4205253799,37.6924625698,32.158027649,42.573320719,38.275862069,0,33.9100346021,22.1175569198,67.0429448995,32.4093816631,4.9304191228,51.2195121951,#DIV/0!,49.7271056335,37.922169582,20.7234527981,35.2201542573,30.629562755,2.6647966339,13.6929368553,37.4415168228,22.0161797955,15.8400251676,99.8259860789,0.7175629021,9.0787131377,9.1666666667,30.7280936232,18.8552876352,51.2595103534,11.4982660441,19.9846506339,2.2805936758,43.7433196828,87.6079707722,99.2456442193,29.6700570578,100,89.3234372315,100,80.9391586364,0,364.0974773115,99.8945891206,0.0581681104,6.1843905063,7.7667980342,20.126744366,7.9924896664,21.3220441079,57.2242519694,0,7.5686998567,5.1083761091
Guanajuato,15.3274657023,7.7945901869,60.4552723893,67.6160124851,100,100,70.297029703,73.417721519,46.9620253165,42.533082486,90.4639069207,19.0141515859,61.7637167241,75.3846153846,2.0646377519,3.4695704445,0.1920139566,15.6711336146,35.6289755041,68.4911047661,26.3166632812,82.4,68.9511237959,49.2856686033,57.727418223,19.1901476058,64.0068281289,73.9001665117,0,58.3333333333,48.1703894032,54.2056074766,33.1325301205,6.4111688092,36.3740509972,100,95.1308791943,76.7606990262,56.0447631083,77.3888363292,64.8275862069,0,50.1730103806,0,0,37.6545842217,16.868368379,29.2682926829,#DIV/0!,54.5930029325,39.1526766634,18.8318797611,22.1351547918,35.4688020388,14.1654978962,26.9434868349,51.719819985,39.9593929984,17.0440210019,97.8538283063,0.0006631987,5.0426982447,19.1666666667,4.7402202221,9.5400507865,20.2092496576,21.1825928837,24.8746696026,9.188138859,69.9319206203,100,99.8395722172,77.4249565865,53.1303320646,71.6379816459,20.3273376863,92.2916857117,0,255.3514572421,99.7692743127,1.1375050045,9.1580759903,8.4606541031,9.3073521576,6.3589526068,27.9297436118,64.0114222085,21.791555104,7.3959717909,12.5205578698
